Year,Total fertility rate,Net Migration Rate,p_male,p_female
2020,1.5105784263157904,0.006745305263157864,0.5134000000000001,0.48659999999999987
2021,1.518425438345865,0.006895539097744319,0.5134000000000001,0.48659999999999987
2022,1.5262724503759397,0.007045772932330774,0.5134000000000001,0.48659999999999987
2023,1.5341194624060144,0.007196006766917229,0.5134000000000001,0.48659999999999987
2024,1.5419664744360908,0.00734624060150374,0.5134000000000001,0.48659999999999987
2025,1.5498134864661655,0.007496474436090195,0.5134000000000001,0.48659999999999987
2026,1.55766049849624,0.00764670827067665,0.5134000000000001,0.48659999999999987
2027,1.5655075105263165,0.007796942105263105,0.5134000000000001,0.48659999999999987
2028,1.5733545225563912,0.00794717593984956,0.5134000000000001,0.48659999999999987
2029,1.5812015345864658,0.008097409774436015,0.5134000000000001,0.48659999999999987
2030,1.5890485466165423,0.008247643609022526,0.5134000000000001,0.48659999999999987
