Year,Age,Sex,Mortality Rate
2020,0,Female,0.0024431578947368415
2021,0,Female,0.002364030075187956
2022,0,Female,0.0022849022556390985
2023,0,Female,0.002205774436090213
2024,0,Female,0.0021266466165413556
2025,0,Female,0.00204751879699247
2026,0,Female,0.0019683909774436126
2027,0,Female,0.0018892631578947272
2028,0,Female,0.0018101353383458696
2029,0,Female,0.0017310075187969842
2030,0,Female,0.0016518796992480989
2020,0,Male,0.0027893157894736675
2021,0,Male,0.002665774436090229
2022,0,Male,0.002542233082706763
2023,0,Male,0.002418691729323297
2024,0,Male,0.0022951503759398584
2025,0,Male,0.0021716090225563645
2026,0,Male,0.002048067669172926
2027,0,Male,0.0019245263157894876
2028,0,Male,0.0018009849624059937
2029,0,Male,0.0016774436090225553
2030,0,Male,0.0015539022556391169
2020,1-14,Female,8.113931578945972e-05
2021,1-14,Female,7.796567919798273e-05
2022,1-14,Female,7.479204260650487e-05
2023,1-14,Female,7.161840601502788e-05
2024,1-14,Female,6.844476942355002e-05
2025,1-14,Female,6.527113283207302e-05
2026,1-14,Female,6.209749624059603e-05
2027,1-14,Female,5.892385964911817e-05
2028,1-14,Female,5.575022305764118e-05
2029,1-14,Female,5.257658646616332e-05
2030,1-14,Female,4.9402949874686325e-05
2020,1-14,Male,0.00010727964912275994
2021,1-14,Male,0.00010412086967413747
2022,1-14,Male,0.00010096209022551587
2023,1-14,Male,9.780331077689341e-05
2024,1-14,Male,9.464453132827181e-05
2025,1-14,Male,9.148575187964934e-05
2026,1-14,Male,8.832697243102774e-05
2027,1-14,Male,8.516819298240615e-05
2028,1-14,Male,8.200941353378368e-05
2029,1-14,Male,7.885063408516208e-05
2030,1-14,Male,7.569185463653962e-05
2020,15-64,Female,0.001340282794736837
2021,15-64,Female,0.0013131920037593933
2022,15-64,Female,0.0012861012127819496
2023,15-64,Female,0.001259010421804506
2024,15-64,Female,0.0012319196308270691
2025,15-64,Female,0.0012048288398496254
2026,15-64,Female,0.0011777380488721817
2027,15-64,Female,0.001150647257894738
2028,15-64,Female,0.0011235564669172943
2029,15-64,Female,0.0010964656759398506
2030,15-64,Female,0.0010693748849624068
2020,15-64,Male,0.0024998230789473608
2021,15-64,Male,0.002423823857894719
2022,15-64,Male,0.002347824636842105
2023,15-64,Male,0.0022718254157894635
2024,15-64,Male,0.002195826194736822
2025,15-64,Male,0.002119826973684208
2026,15-64,Male,0.0020438277526315662
2027,15-64,Male,0.0019678285315789523
2028,15-64,Male,0.0018918293105263106
2029,15-64,Male,0.0018158300894736967
2030,15-64,Male,0.001739830868421055
2020,65-89,Female,0.035457819357894715
2021,65-89,Female,0.03467725105864661
2022,65-89,Female,0.0338966827593985
2023,65-89,Female,0.03311611446015039
2024,65-89,Female,0.032335546160902284
2025,65-89,Female,0.031554977861654177
2026,65-89,Female,0.03077440956240607
2027,65-89,Female,0.02999384126315796
2028,65-89,Female,0.029213272963909853
2029,65-89,Female,0.028432704664661745
2030,65-89,Female,0.027652136365413638
2020,65-89,Male,0.052273203789473754
2021,65-89,Male,0.05116258123609052
2022,65-89,Male,0.05005195868270684
2023,65-89,Male,0.04894133612932361
2024,65-89,Male,0.04783071357593993
2025,65-89,Male,0.0467200910225567
2026,65-89,Male,0.04560946846917302
2027,65-89,Male,0.044498845915789786
2028,65-89,Male,0.04338822336240611
2029,65-89,Male,0.042277600809022875
2030,65-89,Male,0.0411669782556392
2020,90+,Female,0.34373661601754346
2021,90+,Female,0.3425401239398491
2022,90+,Female,0.3413436318621552
2023,90+,Female,0.3401471397844609
2024,90+,Female,0.33895064770676653
2025,90+,Female,0.3377541556290722
2026,90+,Female,0.3365576635513783
2027,90+,Female,0.33536117147368394
2028,90+,Female,0.3341646793959896
2029,90+,Female,0.33296818731829525
2030,90+,Female,0.33177169524060135
2020,90+,Male,0.37211590233333336
2021,90+,Male,0.37034355500000027
2022,90+,Male,0.36857120766666673
2023,90+,Male,0.36679886033333364
2024,90+,Male,0.3650265130000001
2025,90+,Male,0.3632541656666666
2026,90+,Male,0.3614818183333335
2027,90+,Male,0.35970947099999995
2028,90+,Male,0.35793712366666686
2029,90+,Male,0.3561647763333333
2030,90+,Male,0.35439242900000023
